id,label
TEST_0000,5
TEST_0001,5
TEST_0002,2
TEST_0003,0
TEST_0004,0
TEST_0005,4
TEST_0006,3
TEST_0007,1
TEST_0008,4
TEST_0009,1
TEST_0010,1
TEST_0011,2
TEST_0012,1
TEST_0013,0
TEST_0014,0
TEST_0015,3
TEST_0016,5
TEST_0017,1
TEST_0018,3
TEST_0019,3
TEST_0020,2
TEST_0021,1
TEST_0022,1
TEST_0023,3
TEST_0024,5
TEST_0025,1
TEST_0026,2
TEST_0027,5
TEST_0028,0
TEST_0029,1
TEST_0030,3
TEST_0031,1
TEST_0032,4
TEST_0033,1
TEST_0034,3
TEST_0035,0
TEST_0036,3
TEST_0037,4
TEST_0038,0
TEST_0039,1
TEST_0040,0
TEST_0041,0
TEST_0042,1
TEST_0043,4
TEST_0044,4
TEST_0045,5
TEST_0046,5
TEST_0047,0
TEST_0048,4
TEST_0049,0
TEST_0050,1
TEST_0051,1
TEST_0052,0
TEST_0053,1
TEST_0054,0
TEST_0055,1
TEST_0056,4
TEST_0057,5
TEST_0058,1
TEST_0059,2
TEST_0060,5
TEST_0061,4
TEST_0062,3
TEST_0063,0
TEST_0064,4
TEST_0065,5
TEST_0066,3
TEST_0067,3
TEST_0068,1
TEST_0069,1
TEST_0070,4
TEST_0071,4
TEST_0072,3
TEST_0073,1
TEST_0074,5
TEST_0075,2
TEST_0076,0
TEST_0077,3
TEST_0078,4
TEST_0079,4
TEST_0080,0
TEST_0081,2
TEST_0082,1
TEST_0083,2
TEST_0084,3
TEST_0085,0
TEST_0086,0
TEST_0087,3
TEST_0088,0
TEST_0089,5
TEST_0090,0
TEST_0091,0
TEST_0092,4
TEST_0093,0
TEST_0094,5
TEST_0095,0
TEST_0096,5
TEST_0097,1
TEST_0098,4
TEST_0099,4
TEST_0100,1
TEST_0101,4
TEST_0102,5
TEST_0103,2
TEST_0104,4
TEST_0105,5
TEST_0106,4
TEST_0107,3
TEST_0108,5
TEST_0109,2
TEST_0110,4
TEST_0111,0
TEST_0112,0
TEST_0113,5
TEST_0114,2
TEST_0115,3
TEST_0116,2
TEST_0117,0
TEST_0118,0
TEST_0119,5
TEST_0120,1
TEST_0121,1
TEST_0122,1
TEST_0123,4
TEST_0124,0
TEST_0125,0
TEST_0126,4
TEST_0127,4
TEST_0128,3
TEST_0129,0
TEST_0130,4
TEST_0131,3
TEST_0132,4
TEST_0133,5
TEST_0134,1
TEST_0135,0
TEST_0136,5
TEST_0137,0
TEST_0138,3
TEST_0139,0
TEST_0140,4
TEST_0141,4
TEST_0142,5
TEST_0143,5
TEST_0144,5
TEST_0145,2
TEST_0146,0
TEST_0147,0
TEST_0148,4
TEST_0149,4
TEST_0150,1
TEST_0151,1
TEST_0152,1
TEST_0153,4
TEST_0154,4
TEST_0155,0
TEST_0156,0
TEST_0157,5
TEST_0158,2
TEST_0159,4
TEST_0160,0
TEST_0161,5
TEST_0162,4
TEST_0163,3
TEST_0164,4
TEST_0165,4
TEST_0166,3
TEST_0167,1
TEST_0168,2
TEST_0169,3
TEST_0170,4
TEST_0171,1
TEST_0172,1
TEST_0173,3
TEST_0174,0
TEST_0175,3
TEST_0176,2
TEST_0177,3
TEST_0178,5
TEST_0179,0
TEST_0180,4
TEST_0181,5
TEST_0182,3
TEST_0183,3
TEST_0184,0
TEST_0185,3
TEST_0186,5
TEST_0187,0
TEST_0188,0
TEST_0189,0
TEST_0190,4
TEST_0191,4
TEST_0192,4
TEST_0193,1
TEST_0194,0
TEST_0195,4
TEST_0196,5
TEST_0197,1
TEST_0198,5
TEST_0199,3
TEST_0200,4
TEST_0201,0
TEST_0202,5
TEST_0203,1
TEST_0204,0
TEST_0205,1
TEST_0206,3
TEST_0207,1
TEST_0208,0
TEST_0209,4
TEST_0210,1
TEST_0211,0
TEST_0212,0
TEST_0213,0
TEST_0214,4
TEST_0215,4
TEST_0216,5
TEST_0217,0
TEST_0218,2
TEST_0219,0
TEST_0220,0
TEST_0221,0
TEST_0222,5
TEST_0223,1
TEST_0224,0
TEST_0225,3
TEST_0226,4
TEST_0227,0
TEST_0228,5
TEST_0229,3
TEST_0230,2
TEST_0231,1
TEST_0232,4
TEST_0233,5
